,tweet_id,favorites,retweet_count
190,854120357044912130,29173,6580
191,854010172552949760,14819,2787
192,853760880890318849,26026,5107
193,853639147608842240,31497,8855
194,853299958564483072,14146,3165
195,852936405516943360,0,1783
196,852912242202992640,8237,1596
197,852672615818899456,13622,1906
198,852553447878664193,14878,3106
199,852311364735569921,30295,8857
200,852226086759018497,18318,6077
201,852189679701164033,10561,1417
202,851591660324737024,14933,3123
203,851464819735769094,22224,6296
204,851224888060895234,19006,5164
205,850753642995093505,28101,8061
206,850380195714523136,12060,2326
207,850333567704068097,3188,301
208,850145622816686080,15026,3388
209,850019790995546112,18755,4359
210,849776966551130114,27873,6803
211,849668094696017920,0,4438
212,849412302885593088,14653,2823
213,849336543269576704,10545,1686
214,849051919805034497,38949,7605
215,848690551926992896,23245,3915
216,848324959059550208,22803,4143
217,848213670039564288,7535,644
218,848212111729840128,15018,2712
219,847978865427394560,0,2917
220,847971574464610304,0,394
221,847962785489326080,21708,4567
222,847842811428974592,5007,1186
223,847617282490613760,6467,376
224,847606175596138505,17333,3079
225,847251039262605312,18945,3909
226,847157206088847362,18354,5247
227,847116187444137987,19851,2872
228,846874817362120707,18595,3544
229,846514051647705089,41130,10362
230,846505985330044928,13054,2755
231,846153765933735936,29065,8156
232,846139713627017216,28766,9153
233,846042936437604353,14789,2582
234,845812042753855489,26978,7849
235,845677943972139009,23398,4373
236,845397057150107648,7076,1620
237,845306882940190720,21587,4848
238,845098359547420673,0,6931
239,844979544864018432,12658,2307
240,844973813909606400,13913,2845
241,844580511645339650,15275,2809
242,844223788422217728,12683,1987
243,843981021012017153,14096,2699
244,843856843873095681,19940,4166
245,843604394117681152,15681,2477
246,843235543001513987,19942,5395
247,842846295480000512,14199,3313
248,842765311967449089,6286,1176
249,842535590457499648,16895,3171
250,842163532590374912,22699,5254
251,842115215311396866,13015,2756
252,841833993020538882,0,13544
253,841680585030541313,24018,7147
254,841439858740625411,11717,3314
255,841320156043304961,18395,5013
256,841314665196081154,14729,4230
257,841077006473256960,21310,4880
258,840761248237133825,0,1620
259,840728873075638272,0,14570
260,840698636975636481,163,2
261,840696689258311684,11471,889
262,840632337062862849,8418,1620
263,840370681858686976,15325,4174
264,840268004936019968,17877,5206
265,839990271299457024,12510,2065
266,839549326359670784,25543,7062
267,839290600511926273,0,132
268,839239871831150596,25208,5925
269,838952994649550848,18344,3659
270,838921590096166913,10415,1854
271,838916489579200512,0,31
272,838831947270979586,0,10011
273,838561493054533637,10238,1231
274,838476387338051585,20945,4337
275,838201503651401729,0,9168
276,838150277551247360,1567,303
277,838085839343206401,134,1
278,838083903487373313,16443,2837
279,837820167694528512,31800,7142
280,837482249356513284,3603,405
281,837471256429613056,11972,2059
282,837110210464448512,15060,2177
283,836989968035819520,11938,2110
284,836753516572119041,18101,4260
285,836677758902222849,11833,2021
286,836648853927522308,0,507
287,836397794269200385,0,25041
288,836380477523124226,13893,2745
289,836260088725786625,19937,3977
290,836001077879255040,17871,3885
291,835685285446955009,0,7409
292,835574547218894849,16628,3295
293,835536468978302976,0,1540
294,835309094223372289,0,19134
295,835297930240217089,15420,2734
296,835264098648616962,7225,1540
297,835246439529840640,1989,63
298,835172783151792128,24539,5288
299,835152434251116546,20926,2755
300,834931633769889797,10087,1490
301,834786237630337024,20195,5105
302,834574053763584002,12800,2307
303,834477809192075265,0,9752
304,834458053273591808,9023,1546
305,834209720923721728,19222,4318
306,834167344700198914,14815,3359
307,834089966724603904,9437,1962
308,834086379323871233,12222,2039
309,833863086058651648,12604,2209
310,833826103416520705,17059,3485
311,833732339549220864,0,205
312,833722901757046785,19654,2994
313,833479644947025920,13983,1888
314,833124694597443584,18973,4438
315,832998151111966721,12407,2010
316,832769181346996225,0,38
317,832757312314028032,15822,3314
318,832682457690300417,11131,2665
319,832645525019123713,2733,484
320,832636094638288896,14869,2558
321,832397543355072512,11224,2036
322,832369877331693569,16057,2917
323,832273440279240704,10642,2142
324,832215909146226688,0,5714
325,832215726631055365,0,8577
326,832088576586297345,59,2
327,832040443403784192,0,8809
328,832032802820481025,16751,4296
329,831939777352105988,22452,5649
330,831926988323639298,319,34
331,831911600680497154,25802,5962
332,831670449226514432,9773,1686
333,831650051525054464,6671,1783
334,831552930092285952,8442,2158
335,831322785565769729,8740,1441
336,831315979191906304,6167,1036
337,831309418084069378,11079,2263
338,831262627380748289,11140,1886
339,830956169170665475,7502,1374
340,830583320585068544,62264,15387
341,830173239259324417,0,5229
342,830097400375152640,9140,2690
343,829878982036299777,0,4593
344,829861396166877184,11500,1790
345,829501995190984704,29841,9752
346,829449946868879360,9854,1859
347,829141528400556032,22873,6756
348,829011960981237760,50186,15070
349,828801551087042563,0,3153
350,828770345708580865,24037,5386
351,828708714936930305,34192,10302
352,828650029636317184,8937,1233
353,828409743546925057,6033,1078
354,828408677031882754,7240,1183
355,828381636999917570,11848,2056
356,828376505180889089,6974,991
357,828372645993398273,11847,2723
358,828361771580813312,2064,165
